Name,Rating,Number of Reviews,Category,Address,Lat/Long,Price,lat,long
bento-go-columbus,4,61,"[{'alias': 'asianfusion', 'title': 'Asian Fusion'}]","{'address1': '2226 Henderson Rd', 'address2': '', 'address3': '', 'city': 'Columbus', 'zip_code': '43220', 'country': 'US', 'state': 'OH', 'display_address': ['2226 Henderson Rd', 'Columbus, OH 43220']}","{'latitude': 40.0584886, 'longitude': -83.0782959}",$,40.0584886,-83.0782959
tiger-lily-columbus,4,61,"[{'alias': 'asianfusion', 'title': 'Asian Fusion'}, {'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'chinese', 'title': 'Chinese'}]","{'address1': '19 E Gay St', 'address2': '', 'address3': None, 'city': 'Columbus', 'zip_code': '43215', 'country': 'US', 'state': 'OH', 'display_address': ['19 E Gay St', 'Columbus, OH 43215']}","{'latitude': 39.96356, 'longitude': -83.00021}",$$,39.96356,-83.00021
bao-bros-columbus,5,2,"[{'alias': 'asianfusion', 'title': 'Asian Fusion'}]","{'address1': '246 S 4th St', 'address2': '', 'address3': '', 'city': 'Columbus', 'zip_code': '43215', 'country': 'US', 'state': 'OH', 'display_address': ['246 S 4th St', 'Columbus, OH 43215']}","{'latitude': 39.9575807761317, 'longitude': -82.9950707374349}",No recorded price,39.95758078,-82.99507074
h-y-asian-cuisine-columbus,4,27,"[{'alias': 'chinese', 'title': 'Chinese'}, {'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}]","{'address1': '3011 Olentangy River Rd', 'address2': '', 'address3': None, 'city': 'Columbus', 'zip_code': '43202', 'country': 'US', 'state': 'OH', 'display_address': ['3011 Olentangy River Rd', 'Columbus, OH 43202']}","{'latitude': 40.0220353738857, 'longitude': -83.0256759149484}",$$,40.02203537,-83.02567591
ye-asian-bistro-columbus,4,42,"[{'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}, {'alias': 'chinese', 'title': 'Chinese'}]","{'address1': '139 Graceland Blvd', 'address2': '', 'address3': None, 'city': 'Columbus', 'zip_code': '43214', 'country': 'US', 'state': 'OH', 'display_address': ['139 Graceland Blvd', 'Columbus, OH 43214']}","{'latitude': 40.0651412042474, 'longitude': -83.0230227900017}",$$,40.0651412,-83.02302279
bibibop-asian-grill-columbus-7,4,38,"[{'alias': 'korean', 'title': 'Korean'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}, {'alias': 'salad', 'title': 'Salad'}]","{'address1': '241 Easton Town Ctr', 'address2': '', 'address3': '', 'city': 'Columbus', 'zip_code': '43219', 'country': 'US', 'state': 'OH', 'display_address': ['241 Easton Town Ctr', 'Columbus, OH 43219']}","{'latitude': 40.050827, 'longitude': -82.915364}",$,40.050827,-82.915364
bibibop-asian-grill-columbus-9,4,33,"[{'alias': 'asianfusion', 'title': 'Asian Fusion'}, {'alias': 'salad', 'title': 'Salad'}, {'alias': 'korean', 'title': 'Korean'}]","{'address1': '6977 E Broad St', 'address2': '', 'address3': '', 'city': 'Columbus', 'zip_code': '43213', 'country': 'US', 'state': 'OH', 'display_address': ['6977 E Broad St', 'Columbus, OH 43213']}","{'latitude': 39.98208, 'longitude': -82.81658}",$,39.98208,-82.81658
chi-thai-columbus,3.5,116,"[{'alias': 'chinese', 'title': 'Chinese'}, {'alias': 'thai', 'title': 'Thai'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}]","{'address1': '5577 N Hamilton Rd', 'address2': '', 'address3': '', 'city': 'Columbus', 'zip_code': '43230', 'country': 'US', 'state': 'OH', 'display_address': ['5577 N Hamilton Rd', 'Columbus, OH 43230']}","{'latitude': 40.07002, 'longitude': -82.86408}",$$,40.07002,-82.86408
ichiban-columbus,3.5,29,"[{'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}]","{'address1': '1560 Georgesville Square Dr', 'address2': '', 'address3': None, 'city': 'Columbus', 'zip_code': '43228', 'country': 'US', 'state': 'OH', 'display_address': ['1560 Georgesville Square Dr', 'Columbus, OH 43228']}","{'latitude': 39.9206428527832, 'longitude': -83.1229705810547}",$$,39.92064285,-83.12297058
lieus-asian-cuisine-columbus-3,4,41,"[{'alias': 'asianfusion', 'title': 'Asian Fusion'}, {'alias': 'chinese', 'title': 'Chinese'}, {'alias': 'vietnamese', 'title': 'Vietnamese'}]","{'address1': '5320 N High St', 'address2': '', 'address3': '', 'city': 'Columbus', 'zip_code': '43214', 'country': 'US', 'state': 'OH', 'display_address': ['5320 N High St', 'Columbus, OH 43214']}","{'latitude': 40.07089, 'longitude': -83.01866}",$,40.07089,-83.01866
kissho-asian-bistro-and-sushi-bar-columbus-2,4,45,"[{'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}, {'alias': 'chinese', 'title': 'Chinese'}]","{'address1': '6823 E Broad St', 'address2': None, 'address3': '', 'city': 'Columbus', 'zip_code': '43213', 'country': 'US', 'state': 'OH', 'display_address': ['6823 E Broad St', 'Columbus, OH 43213']}","{'latitude': 39.9813776149132, 'longitude': -82.8216253308578}",$$,39.98137761,-82.82162533
bibibop-asian-grill-columbus-11,4,14,"[{'alias': 'asianfusion', 'title': 'Asian Fusion'}, {'alias': 'korean', 'title': 'Korean'}, {'alias': 'salad', 'title': 'Salad'}]","{'address1': '1778 N High St', 'address2': '', 'address3': '', 'city': 'Columbus', 'zip_code': '43201', 'country': 'US', 'state': 'OH', 'display_address': ['1778 N High St', 'Columbus, OH 43201']}","{'latitude': 39.9985549, 'longitude': -83.0074759}",$,39.9985549,-83.0074759
bibibop-asian-grill-columbus-10,4,29,"[{'alias': 'korean', 'title': 'Korean'}, {'alias': 'salad', 'title': 'Salad'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}]","{'address1': '6469 Sawmill Rd', 'address2': '', 'address3': '', 'city': 'Columbus', 'zip_code': '43235', 'country': 'US', 'state': 'OH', 'display_address': ['6469 Sawmill Rd', 'Columbus, OH 43235']}","{'latitude': 40.0987808731104, 'longitude': -83.091429707655}",$,40.09878087,-83.09142971
