Name,Rating,NumberofReviews,GroupCategory,Address,Lat/Long,PriceTransfrom,lat,long
bento-go-columbus,4,61,Asian,"{'address1': '2226 Henderson Rd', 'address2': '', 'address3': '', 'city': 'Columbus', 'zip_code': '43220', 'country': 'US', 'state': 'OH', 'display_address': ['2226 Henderson Rd', 'Columbus, OH 43220']}","{'latitude': 40.0584886, 'longitude': -83.0782959}",1,40.0584886,-83.0782959
tiger-lily-columbus,4,61,Asian,"{'address1': '19 E Gay St', 'address2': '', 'address3': None, 'city': 'Columbus', 'zip_code': '43215', 'country': 'US', 'state': 'OH', 'display_address': ['19 E Gay St', 'Columbus, OH 43215']}","{'latitude': 39.96356, 'longitude': -83.00021}",2,39.96356,-83.00021
bao-bros-columbus,5,2,Asian,"{'address1': '246 S 4th St', 'address2': '', 'address3': '', 'city': 'Columbus', 'zip_code': '43215', 'country': 'US', 'state': 'OH', 'display_address': ['246 S 4th St', 'Columbus, OH 43215']}","{'latitude': 39.9575807761317, 'longitude': -82.9950707374349}",0,39.95758078,-82.99507074
h-y-asian-cuisine-columbus,4,27,Asian,"{'address1': '3011 Olentangy River Rd', 'address2': '', 'address3': None, 'city': 'Columbus', 'zip_code': '43202', 'country': 'US', 'state': 'OH', 'display_address': ['3011 Olentangy River Rd', 'Columbus, OH 43202']}","{'latitude': 40.0220353738857, 'longitude': -83.0256759149484}",2,40.02203537,-83.02567591
ye-asian-bistro-columbus,4,42,Asian,"{'address1': '139 Graceland Blvd', 'address2': '', 'address3': None, 'city': 'Columbus', 'zip_code': '43214', 'country': 'US', 'state': 'OH', 'display_address': ['139 Graceland Blvd', 'Columbus, OH 43214']}","{'latitude': 40.0651412042474, 'longitude': -83.0230227900017}",2,40.0651412,-83.02302279
bibibop-asian-grill-columbus-7,4,38,Asian,"{'address1': '241 Easton Town Ctr', 'address2': '', 'address3': '', 'city': 'Columbus', 'zip_code': '43219', 'country': 'US', 'state': 'OH', 'display_address': ['241 Easton Town Ctr', 'Columbus, OH 43219']}","{'latitude': 40.050827, 'longitude': -82.915364}",1,40.050827,-82.915364
bibibop-asian-grill-columbus-9,4,33,Asian,"{'address1': '6977 E Broad St', 'address2': '', 'address3': '', 'city': 'Columbus', 'zip_code': '43213', 'country': 'US', 'state': 'OH', 'display_address': ['6977 E Broad St', 'Columbus, OH 43213']}","{'latitude': 39.98208, 'longitude': -82.81658}",1,39.98208,-82.81658
chi-thai-columbus,3.5,116,Asian,"{'address1': '5577 N Hamilton Rd', 'address2': '', 'address3': '', 'city': 'Columbus', 'zip_code': '43230', 'country': 'US', 'state': 'OH', 'display_address': ['5577 N Hamilton Rd', 'Columbus, OH 43230']}","{'latitude': 40.07002, 'longitude': -82.86408}",2,40.07002,-82.86408
ichiban-columbus,3.5,29,Asian,"{'address1': '1560 Georgesville Square Dr', 'address2': '', 'address3': None, 'city': 'Columbus', 'zip_code': '43228', 'country': 'US', 'state': 'OH', 'display_address': ['1560 Georgesville Square Dr', 'Columbus, OH 43228']}","{'latitude': 39.9206428527832, 'longitude': -83.1229705810547}",2,39.92064285,-83.12297058
lieus-asian-cuisine-columbus-3,4,41,Asian,"{'address1': '5320 N High St', 'address2': '', 'address3': '', 'city': 'Columbus', 'zip_code': '43214', 'country': 'US', 'state': 'OH', 'display_address': ['5320 N High St', 'Columbus, OH 43214']}","{'latitude': 40.07089, 'longitude': -83.01866}",1,40.07089,-83.01866
kissho-asian-bistro-and-sushi-bar-columbus-2,4,45,Asian,"{'address1': '6823 E Broad St', 'address2': None, 'address3': '', 'city': 'Columbus', 'zip_code': '43213', 'country': 'US', 'state': 'OH', 'display_address': ['6823 E Broad St', 'Columbus, OH 43213']}","{'latitude': 39.9813776149132, 'longitude': -82.8216253308578}",2,39.98137761,-82.82162533
bibibop-asian-grill-columbus-11,4,14,Asian,"{'address1': '1778 N High St', 'address2': '', 'address3': '', 'city': 'Columbus', 'zip_code': '43201', 'country': 'US', 'state': 'OH', 'display_address': ['1778 N High St', 'Columbus, OH 43201']}","{'latitude': 39.9985549, 'longitude': -83.0074759}",1,39.9985549,-83.0074759
bibibop-asian-grill-columbus-10,4,29,Asian,"{'address1': '6469 Sawmill Rd', 'address2': '', 'address3': '', 'city': 'Columbus', 'zip_code': '43235', 'country': 'US', 'state': 'OH', 'display_address': ['6469 Sawmill Rd', 'Columbus, OH 43235']}","{'latitude': 40.0987808731104, 'longitude': -83.091429707655}",1,40.09878087,-83.09142971
p-f-changs-columbus-2,3,113,Asian,"{'address1': '4040 Townsfair Way', 'address2': '', 'address3': '', 'city': 'Columbus', 'zip_code': '43219', 'country': 'US', 'state': 'OH', 'display_address': ['4040 Townsfair Way', 'Columbus, OH 43219']}","{'latitude': 40.0491560276995, 'longitude': -82.9134938120842}",2,40.04915603,-82.91349381
bibibop-asian-grill-columbus,4,166,Asian,"{'address1': '1270 W 5th Ave', 'address2': '', 'address3': '', 'city': 'Columbus', 'zip_code': '43212', 'country': 'US', 'state': 'OH', 'display_address': ['1270 W 5th Ave', 'Columbus, OH 43212']}","{'latitude': 39.9888519534978, 'longitude': -83.0398556908575}",1,39.98885195,-83.03985569
bibibop-asian-grill-columbus-6,3.5,83,Asian,"{'address1': '1281 Polaris Pkwy', 'address2': '', 'address3': '', 'city': 'Columbus', 'zip_code': '43240', 'country': 'US', 'state': 'OH', 'display_address': ['1281 Polaris Pkwy', 'Columbus, OH 43240']}","{'latitude': 40.1411859419024, 'longitude': -82.9868963372889}",1,40.14118594,-82.98689634
menya-ramen-dublin-5,4.5,149,Asian,"{'address1': '331 W Bridge St', 'address2': '', 'address3': '', 'city': 'Dublin', 'zip_code': '43017', 'country': 'US', 'state': 'OH', 'display_address': ['331 W Bridge St', 'Dublin, OH 43017']}","{'latitude': 40.0989222472042, 'longitude': -83.1231134107553}",2,40.09892225,-83.12311341
mixing-bowl-asian-grill-columbus,4.5,6,Asian,"{'address1': '160 S High St', 'address2': '', 'address3': '', 'city': 'Columbus', 'zip_code': '43215', 'country': 'US', 'state': 'OH', 'display_address': ['160 S High St', 'Columbus, OH 43215']}","{'latitude': 39.9588776887528, 'longitude': -82.9997178982313}",1,39.95887769,-82.9997179
eastern-palace-columbus,4,26,Asian,"{'address1': '6078 E Livingston Ave', 'address2': '', 'address3': '', 'city': 'Columbus', 'zip_code': '43232', 'country': 'US', 'state': 'OH', 'display_address': ['6078 E Livingston Ave', 'Columbus, OH 43232']}","{'latitude': 39.94257, 'longitude': -82.8318199}",2,39.94257,-82.8318199
royal-ginger-columbus,3.5,157,Asian,"{'address1': '8591 Sancus Blvd', 'address2': '', 'address3': '', 'city': 'Columbus', 'zip_code': '43240', 'country': 'US', 'state': 'OH', 'display_address': ['8591 Sancus Blvd', 'Columbus, OH 43240']}","{'latitude': 40.13833, 'longitude': -82.99261}",2,40.13833,-82.99261
lemon-grass-fusion-bistro-columbus,3.5,331,Asian,"{'address1': '641 N High St', 'address2': 'Ste 103', 'address3': '', 'city': 'Columbus', 'zip_code': '43215', 'country': 'US', 'state': 'OH', 'display_address': ['641 N High St', 'Ste 103', 'Columbus, OH 43215']}","{'latitude': 39.975306, 'longitude': -83.003307}",2,39.975306,-83.003307
bds-mongolian-grill-columbus,3,91,Asian,"{'address1': '295 Marconi Blvd', 'address2': '', 'address3': '', 'city': 'Columbus', 'zip_code': '43215', 'country': 'US', 'state': 'OH', 'display_address': ['295 Marconi Blvd', 'Columbus, OH 43215']}","{'latitude': 39.96803, 'longitude': -83.00551}",2,39.96803,-83.00551
bibibop-asian-grill-columbus-2,4,83,Asian,"{'address1': '1836 W Henderson Rd', 'address2': '', 'address3': '', 'city': 'Columbus', 'zip_code': '43220', 'country': 'US', 'state': 'OH', 'display_address': ['1836 W Henderson Rd', 'Columbus, OH 43220']}","{'latitude': 40.0550611987399, 'longitude': -83.0691164674122}",1,40.0550612,-83.06911647
thai-mango-asian-bistro-columbus,3.5,66,Asian,"{'address1': '2548 Bethel Rd', 'address2': '', 'address3': '', 'city': 'Columbus', 'zip_code': '43235', 'country': 'US', 'state': 'OH', 'display_address': ['2548 Bethel Rd', 'Columbus, OH 43235']}","{'latitude': 40.0665650365743, 'longitude': -83.0873948335648}",1,40.06656504,-83.08739483
hc-way-columbus,3.5,52,Asian,"{'address1': '171 E Campus View Blvd', 'address2': '', 'address3': '', 'city': 'Columbus', 'zip_code': '43235', 'country': 'US', 'state': 'OH', 'display_address': ['171 E Campus View Blvd', 'Columbus, OH 43235']}","{'latitude': 40.1179736915808, 'longitude': -83.0110889398811}",1,40.11797369,-83.01108894
siam-hibachi-grove-city,4.5,35,Asian,"{'address1': '2257 Stringtown Rd', 'address2': '', 'address3': '', 'city': 'Grove City', 'zip_code': '43123', 'country': 'US', 'state': 'OH', 'display_address': ['2257 Stringtown Rd', 'Grove City, OH 43123']}","{'latitude': 39.878, 'longitude': -83.06318}",1,39.878,-83.06318
china-dynasty-columbus-2,3.5,81,Asian,"{'address1': '1689 W Lane Ave', 'address2': '', 'address3': '', 'city': 'Columbus', 'zip_code': '43221', 'country': 'US', 'state': 'OH', 'display_address': ['1689 W Lane Ave', 'Columbus, OH 43221']}","{'latitude': 40.00638428864, 'longitude': -83.0557665505121}",2,40.00638429,-83.05576655
hc-way-columbus-4,3.5,25,Asian,"{'address1': '769 Bethel Rd', 'address2': 'B', 'address3': '', 'city': 'Columbus', 'zip_code': '43214', 'country': 'US', 'state': 'OH', 'display_address': ['769 Bethel Rd', 'B', 'Columbus, OH 43214']}","{'latitude': 40.0622153049132, 'longitude': -83.0412235172313}",1,40.0622153,-83.04122352
royal-ginger-asian-fusion-bistro-columbus,3,124,Asian,"{'address1': '1625 W Lane Ave', 'address2': '', 'address3': '', 'city': 'Columbus', 'zip_code': '43221', 'country': 'US', 'state': 'OH', 'display_address': ['1625 W Lane Ave', 'Columbus, OH 43221']}","{'latitude': 40.0070209, 'longitude': -83.053755}",2,40.0070209,-83.053755
zen-noodle-at-hollywood-casino-columbus,3,5,Asian,"{'address1': '200 Georgesville Rd', 'address2': '', 'address3': '', 'city': 'Columbus', 'zip_code': '43228', 'country': 'US', 'state': 'OH', 'display_address': ['200 Georgesville Rd', 'Columbus, OH 43228']}","{'latitude': 39.9174796116659, 'longitude': -83.1416039541364}",2,39.91747961,-83.14160395
mark-pis-columbus,5,1,Asian,"{'address1': '2740 Eastland 2', 'address2': '', 'address3': '', 'city': 'Columbus', 'zip_code': '43232', 'country': 'US', 'state': 'OH', 'display_address': ['2740 Eastland 2', 'Columbus, OH 43232']}","{'latitude': 39.9186211, 'longitude': -82.8874435}",0,39.9186211,-82.8874435
asian-taste-new-albany,4,59,Asian,"{'address1': '5505 New Albany Rd W', 'address2': '', 'address3': '', 'city': 'New Albany', 'zip_code': '43054', 'country': 'US', 'state': 'OH', 'display_address': ['5505 New Albany Rd W', 'New Albany, OH 43054']}","{'latitude': 40.0945476693674, 'longitude': -82.8260169523999}",2,40.09454767,-82.82601695
hc-way-columbus-3,4,15,Asian,"{'address1': '2107 Polaris Pkwy', 'address2': None, 'address3': '', 'city': 'Columbus', 'zip_code': '43240', 'country': 'US', 'state': 'OH', 'display_address': ['2107 Polaris Pkwy', 'Columbus, OH 43240']}","{'latitude': 40.1442795, 'longitude': -82.9606628}",1,40.1442795,-82.9606628
michaels-hibachi-grove-city,4,26,Asian,"{'address1': '3985 Broadway', 'address2': '', 'address3': '', 'city': 'Grove City', 'zip_code': '43123', 'country': 'US', 'state': 'OH', 'display_address': ['3985 Broadway', 'Grove City, OH 43123']}","{'latitude': 39.88293, 'longitude': -83.09323}",1,39.88293,-83.09323
