ID,Total Number of Reviews,Review 1 URL/Name,DateTime 1,Score 1,Review Segment 1,Review 2 URL/Name,DateTime 2,Score 2,Review Segment 2,Review 3 URL/Name,DateTime 3,Score 3,Review Segment 3
h-y-asian-cuisine-columbus,30,"{'image_url': 'https://s3-media1.fl.yelpcdn.com/photo/x8qdGr9I6XaNiXsSCg1-BA/o.jpg', 'name': 'Andrew L.'}",2017-09-22 19:31:58,5,Stoked to have finally found a real go to Chinese restaurant! Asian food in Columbus can be hit or miss sometimes and I've been searching for a place that...,"{'image_url': 'https://s3-media4.fl.yelpcdn.com/photo/MldLBa87a5A5A4zq5gb-vQ/o.jpg', 'name': 'Gwen W.'}",2017-08-19 13:09:30,5,"Yep, I listened to Mike G's inner voice, and, once again, he's right: This is some really, REALLY great Chinese food!! I had a $30 Groupon to use, so...","{'image_url': 'https://s3-media2.fl.yelpcdn.com/photo/asSOJ4Uz6WGf9FgIRUp1Ow/o.jpg', 'name': 'Gus W.'}",2017-08-16 08:31:40,5,"I found out about this spot probably a month ago and have been here food times since. For those that love authentic Sichuan food, these folks do a great job..."
bibibop-asian-grill-columbus-11,15,"{'image_url': 'https://s3-media2.fl.yelpcdn.com/photo/9hFUHqZc4EZvkztnXpUW0g/o.jpg', 'name': 'Suji S.'}",2017-10-02 12:59:29,5,"I choose this place as the best place to grab lunch on campus. I come here whenever I miss Korean food and don't have enough time to go somewhere far.
The...","{'image_url': 'https://s3-media3.fl.yelpcdn.com/photo/r06G5dPY1EMROwylLYLoJw/o.jpg', 'name': 'Mary C.'}",2016-11-17 17:52:39,4,"I LOVE BIBIBOP.  Pick your format (bowl, burrito, salad), pick your protein (they have tofu!), and pick ALL THE TOPPINGS YOUR HEART DESIRES.  Rice, beans,...","{'image_url': 'https://s3-media4.fl.yelpcdn.com/photo/MFyMVzUarpHR9XtiFO4Jpg/o.jpg', 'name': 'Marie K.'}",2017-07-14 19:36:00,4,"I was extremely pleased that I found some tasty vegan options here. I appreciated how well all of the staff knew what was vegan and what was not. However,..."
bibibop-asian-grill-columbus,167,"{'image_url': 'https://s3-media3.fl.yelpcdn.com/photo/bcLKkutDdp_k38yhqAr-xA/o.jpg', 'name': 'Charles U.'}",2017-07-31 14:38:22,5,Wasn't sure what to expect on my maiden voyage to an Asian Fusion lunch...it definetly reminded me of Chipotle with a korean twist.  I was impressed by the...,"{'image_url': 'https://s3-media2.fl.yelpcdn.com/photo/p7wE7y40Dg2-e2QwbGSfXA/o.jpg', 'name': 'Sarah K.'}",2017-05-05 16:17:25,5,"So good!

No criticism. Quick and good service. Plus it's probably the healthiest, satisfying meal for the price. Service is always friendly and the line...","{'image_url': 'https://s3-media2.fl.yelpcdn.com/photo/COYjSwiDpPWpgiFaa90fpw/o.jpg', 'name': 'Emma B.'}",2017-04-02 09:45:23,4,"This place not only has a variety of healthy options, it's fast and it has a great price! If you are ordering for a small group (4-6 people) I recommend you..."
bento-go-columbus,63,"{'image_url': 'https://s3-media3.fl.yelpcdn.com/photo/7jrGH92HV0m1fNnXVeACGg/o.jpg', 'name': 'Michael M.'}",2017-04-21 17:47:47,5,"If someone had asked me this morning if Heaven was real, I would have simply stated ... ""Perhaps"", or ""who really knows? Do I look like a theologian to...","{'image_url': 'https://s3-media1.fl.yelpcdn.com/photo/fu6ko2UiVrHuviIQ9V8qLg/o.jpg', 'name': 'Steve A.'}",2017-08-31 15:43:55,3,Bento Go has drive through sushi. It really does and people actually go to eat there. Why oh why do I even? It sounded interesting. This shockingly wasn't...,"{'image_url': 'https://s3-media2.fl.yelpcdn.com/photo/g8E07kurNj02UEvG2SJw5Q/o.jpg', 'name': 'Adam M.'}",2017-07-17 11:25:28,1,This place is an old Wendys.  IMO you would be better off just going to Wendys.  I got spicy tuna sushi and egg rolls.  The spicy tuna sushi doesn't use...
bao-bros-columbus,2,"{'image_url': 'https://s3-media4.fl.yelpcdn.com/photo/MldLBa87a5A5A4zq5gb-vQ/o.jpg', 'name': 'Gwen W.'}",2015-08-21 16:22:21,5,Two dishes stood out for me: the Bun Me and Angry Korean. Left enough to be desired that I ordered a second of both of them! The chicken pate in the BM was...,"{'image_url': 'https://s3-media2.fl.yelpcdn.com/photo/k9onFcBkFaY24-4aLMmFZg/o.jpg', 'name': 'Cher W.'}",2015-08-21 16:23:29,5,"This is a ""pop up"" kitchen in the Red Velvet Cafe in downtown Columbus. On Friday nights the Bao brothers delight anyone who cares to try these wonderful..."
lemon-grass-fusion-bistro-columbus,339,"{'image_url': 'https://s3-media1.fl.yelpcdn.com/photo/nnNjtQBMntXDQmqvT8sCcQ/o.jpg', 'name': 'Tiffany D.'}",2017-09-29 19:38:56,5,We sat at the bar and Kevin and Niko were the best! From recommendations to making awesome drinks and good conversation they made it a great first...,"{'image_url': 'https://s3-media4.fl.yelpcdn.com/photo/gDsh1i_nKJLmHnG-0udjtA/o.jpg', 'name': 'Casey G.'}",2017-08-10 16:32:16,4,Located in Short North this is an easy walk from the Convention Center. I had an hour lunch break for a conference and decided to try Lemon Grass Fusion...,"{'image_url': 'https://s3-media1.fl.yelpcdn.com/photo/fu6ko2UiVrHuviIQ9V8qLg/o.jpg', 'name': 'Steve A.'}",2017-08-01 12:38:35,3,"Lemon Grass is fairly good fusion. It's not my favorite thing. The more authentic the better. It's still good. There's lots of healthy options. 

I had the..."
bibibop-asian-grill-columbus-7,38,"{'image_url': 'https://s3-media4.fl.yelpcdn.com/photo/eTLrYunIk2jSAXIlMrceAg/o.jpg', 'name': 'Sunshine S.'}",2017-08-11 12:03:05,5,Wow! I love this restaurant.  The style of this restaurant is like Chipotle in that you get in line and choose your main bowl and choose your unlimited...,"{'image_url': 'https://s3-media2.fl.yelpcdn.com/photo/fKsaKPV4tLJj0ztLU0HYjA/o.jpg', 'name': 'Nai W.'}",2017-09-07 11:13:27,5,Wow Bibibop! This place is awesome. Korean chipotle concept started here in Ohio. I wish we had one of these in AZ. Lots of tasty healthy options or get it...,"{'image_url': 'https://s3-media1.fl.yelpcdn.com/photo/vYfmZE_tYiArRGRtYTEOOA/o.jpg', 'name': 'Dustin K.'}",2017-07-20 09:34:25,5,My fist experience with this restaurant. Wow!  Flavorful add-ins and unique variety of foods. Love that you can add egg into your bowl.  The spicy chicken...
bibibop-asian-grill-columbus-2,83,"{'image_url': 'https://s3-media2.fl.yelpcdn.com/photo/Fv70jmavswrqWVeW_swXFA/o.jpg', 'name': 'Greg M.'}",2017-09-11 10:37:57,5,"A great place to stop for lunch. Think of it kinda like subway. You walk in choose a start, then a base, protein, sauces and then a drink. 

Free miso soup...","{'image_url': 'https://s3-media1.fl.yelpcdn.com/photo/sA2MK4dJME0SmvmhPXxXIw/o.jpg', 'name': 'Becky S.'}",2017-09-03 17:08:57,5,"Would give this a 10/10!

Price: $ very very affordable for a full bowl of grains, proteins and veggies! Bowl + Drink will be less than $10! 

Food:...","{'image_url': 'https://s3-media2.fl.yelpcdn.com/photo/QswWlnXOZJBFE8Gjf95ZXQ/o.jpg', 'name': 'Saphace A.'}",2017-08-13 06:03:07,5,"Tried this place yesterday afternoon at about a quarter til 4 and there were a few people in here.

The staff is so awesome! They greet you upon entering!..."
ye-asian-bistro-columbus,43,"{'image_url': 'https://s3-media2.fl.yelpcdn.com/photo/BIBPCmY9hQR3DFxA3GsDGw/o.jpg', 'name': 'Natalie S.'}",2017-08-31 19:07:17,5,Loveeeee ye Asian bistro! The service is spectacular and so is the food. I'm always shocked that it isn't busier when I'm there. They have an amazing all...,"{'image_url': 'https://s3-media3.fl.yelpcdn.com/photo/iG0kimXgVlnj2jSmJLMyvw/o.jpg', 'name': 'Katie S.'}",2017-04-19 06:25:41,2,"I came here around 1:00 to grab my food for takeout. Just as most everyone else says, the place was deserted. But not only was there no one there except the...","{'image_url': 'https://s3-media2.fl.yelpcdn.com/photo/cVy_n9X0wgn_2SV44QrWsw/o.jpg', 'name': 'Mark K.'}",2017-01-20 09:07:00,4,"I'm just here for the All You Can Eat Sushi...

I remember my introduction to sushi.  My roommate's grandma would send him $100 once in awhile, and we would..."
mixing-bowl-asian-grill-columbus,6,"{'image_url': 'https://s3-media1.fl.yelpcdn.com/photo/oMcXr60l8ufM28gGJ6FRIg/o.jpg', 'name': 'Amber W.'}",2016-12-29 09:21:37,5,This place is great! It is a lot like Bibibop but I personally think the mixing bowl is better. Very fresh ingredients and the yum yum has more flavor. They...,"{'image_url': 'https://s3-media3.fl.yelpcdn.com/photo/alx2z1QGKH_RHm4VOW2ssw/o.jpg', 'name': 'Justin S.'}",2016-09-27 09:54:57,4,This has been my second visit to their truck and the noodle bowl doesn't disappoint ! We had the chicken and the tofu both were excellent would definitely...,"{'image_url': 'https://s3-media1.fl.yelpcdn.com/photo/rFPChG6z1eHjawrCsbe4lQ/o.jpg', 'name': 'Zoe A.'}",2016-09-23 17:04:31,5,Easily some of the best food I've had recently! I got a salad bowl with chicken and all of the veggies! The chicken was marinaded perfectly and I didn't...
